#{"t_start": 1621313174.161331, "env_id": null}
r,l,t
35.2,34,45.603429
39.8,40,45.729008
17.8,19,45.785513
82.7,79,46.001684
11.6,19,46.054579
14.5,16,46.098023
49.7,48,46.227504
42.9,40,46.334916
27.5,26,46.404717
100.6,87,46.640302
42.9,40,46.74691
24.6,28,46.830149
126.6,28,46.906866
38.3,34,46.994683
53.3,44,47.108787
18.9,20,47.167433
4.6,7,47.188696
58.5,58,47.342892
31.7,28,47.418553
44.0,41,47.535433
37.6,37,47.631262
22.2,23,47.693156
30.8,29,47.775569
22.4,26,47.855851
10.1,12,47.894426
27.7,28,47.973013
10.1,12,48.009212
64.5,56,48.171809
42.9,40,48.274096
76.5,67,48.460291
25.3,24,48.531528
64.7,58,48.687691
29.7,28,48.762217
26.6,27,48.832698
13.4,15,48.873004
22.0,21,48.929342
21.3,25,48.994194
42.9,40,49.095133
13.4,15,49.139131
51.7,48,49.265079
17.8,19,49.321836
35.2,33,49.414052
31.9,30,49.497217
16.9,21,49.556957
75.9,70,49.754363
37.4,35,49.850276
42.9,40,49.95815
33.8,29,50.034616
42.9,40,50.139839
42.9,40,50.252463
42.9,40,50.355185
44.2,44,50.47399
69.5,68,50.656452
23.1,22,50.715107
35.4,35,50.804768
44.0,41,50.913168
24.4,25,50.980261
42.5,36,51.074962
42.9,40,51.187628
17.6,17,51.234898
33.0,31,51.340243
45.1,45,51.46658
60.3,54,51.599538
36.1,32,51.688063
42.9,40,51.806176
2.4,5,51.823329
29.7,28,51.900219
3.5,6,51.919927
27.7,29,52.000093
20.0,21,52.056496
21.1,22,52.115495
33.2,33,52.209935
38.4,35,52.306985
15.6,17,52.357337
29.9,30,52.443016
64.0,62,52.603893
26.4,25,52.682702
18.9,20,52.746458
67.5,68,52.932386
20.0,21,52.98682
25.5,26,53.056658
22.0,21,53.122735
6.8,9,53.15186
33.9,30,53.236486
42.9,40,53.340823
57.4,56,53.483499
5.5,6,53.502394
11.2,13,53.539297
33.2,33,53.623837
42.9,40,53.729287
71.5,66,53.901351
40.3,34,53.990748
42.7,38,54.091567
30.6,27,54.172901
18.9,20,54.227475
25.3,24,54.291386
37.6,37,54.393946
42.9,40,54.514212
40.7,38,54.622903
108.5,97,54.908521
1.1,2,54.91831
18.9,20,54.978865
21.1,22,55.040866
22.0,21,55.095948
26.2,23,55.157007
88.9,80,55.377242
27.5,26,55.449916
27.7,29,55.524953
40.5,36,55.616161
33.0,31,55.703852
6.8,9,55.731178
23.3,24,55.794446
13.4,15,55.842867
74.0,61,56.07625
20.7,18,56.131613
39.8,40,56.241503
35.9,30,56.322848
30.6,27,56.399906
36.3,34,56.49547
22.9,20,56.550029
11.2,13,56.585907
31.9,31,56.68213
18.9,20,56.741349
25.3,24,56.818057
19.8,19,56.873214
5.7,8,56.899456
44.0,41,57.030542
27.7,28,57.11517
-1.8,4,57.1317
38.4,35,57.225867
83.2,73,57.436175
36.3,34,57.529409
21.1,22,57.591906
72.4,65,57.775489
119.8,19,57.830924
42.9,40,57.938219
42.9,40,58.042201
48.2,43,58.161174
39.8,40,58.272361
50.4,45,58.401212
23.1,22,58.465182
18.0,22,58.525072
13.4,15,58.565348
20.0,22,58.62665
35.6,38,58.742022
28.8,29,58.823522
38.7,38,58.929044
4.6,7,58.95293
84.5,76,59.158604
6.8,9,59.185105
42.5,36,59.289754
42.9,40,59.399666
38.7,38,59.497612
57.2,53,59.636104
29.7,28,59.708598
22.2,23,59.768994
45.3,44,59.879769
54.8,49,60.009759
1.3,4,60.023803
86.9,80,60.240876
29.9,30,60.323394
33.9,30,60.40038
4.6,7,60.42486
39.4,35,60.531711
5.7,8,60.557979
28.8,29,60.640123
36.5,37,60.746924
14.1,12,60.782829
18.7,18,60.833897
21.1,22,60.891141
40.7,38,60.997775
42.9,40,61.104845
12.3,14,61.145186
11.4,16,61.193453
3.5,6,61.213611
23.3,24,61.279662
15.6,17,61.326083
20.7,18,61.374156
30.8,29,61.454193
34.3,35,61.550227
21.1,22,61.610483
70.6,67,61.799459
36.5,36,61.893877
34.3,34,61.990938
22.0,21,62.049498
23.3,24,62.115681
36.5,36,62.217747
40.9,40,62.326608
25.3,24,62.393747
59.6,57,62.54842
49.3,45,62.671215
28.8,29,62.750239
27.7,28,62.825544
20.9,20,62.87866
42.9,40,62.990135
35.0,31,63.07845
64.7,58,63.240855
62.9,62,63.397953
39.8,40,63.50059
46.0,41,63.622641
6.8,9,63.651604
26.9,20,63.712018
25.3,24,63.777627
17.8,19,63.827622
87.6,77,64.03337
39.4,35,64.121983
28.8,29,64.201632
37.4,35,64.2985
39.8,39,64.408526
13.4,15,64.452382
22.0,21,64.511698
14.5,16,64.555318
9.0,11,64.585997
12.3,14,64.626719
7.9,10,64.659082
19.5,16,64.703625
27.7,28,64.78827
18.7,18,64.83741
35.2,33,64.922255
15.4,15,64.966647
24.2,23,65.036656
88.9,80,65.256868
42.9,40,65.363104
9.0,11,65.395431
93.8,79,65.613793
42.9,40,65.724626
10.1,13,65.765661
35.2,33,65.868367
39.8,40,65.978454
38.7,38,66.077143
55.0,51,66.217342
18.7,18,66.268485
29.9,30,66.346852
10.1,12,66.379021
31.9,30,66.46036
25.3,24,66.52468
79.8,69,66.743736
14.5,16,66.792807
79.8,69,66.996902
22.9,20,67.051334
93.1,82,67.28772
26.4,25,67.353611
48.4,45,67.472518
10.1,12,67.506594
20.7,18,67.55761
11.2,13,67.593963
31.0,31,67.67651
31.0,31,67.758178
11.2,13,67.794497
2.4,5,67.810787
11.2,13,67.849316
106.1,92,68.105243
104.1,92,68.347279
11.2,13,68.383818
22.2,23,68.447445
86.7,78,68.663185
4.6,7,68.685174
34.0,31,68.768949
15.6,17,68.815306
23.3,24,68.878418
24.2,23,68.94131
39.8,39,69.04401
37.6,37,69.140556
2.4,5,69.156953
35.4,36,69.25886
42.9,40,69.360526
50.6,47,69.477882
42.9,40,69.591757
55.9,50,69.727205
29.5,26,69.79751
14.5,16,69.842239
37.4,35,69.93119
42.9,40,70.038675
-2,1,70.045409
46.9,40,70.155828
42.9,40,70.259789
7.9,11,70.290357
28.6,27,70.360846
22.2,23,70.428525
126.7,108,70.724332
42.9,40,70.849459
44.2,45,70.96899
12.3,14,71.00892
12.3,14,71.047279
7.9,10,71.076242
42.9,40,71.188421
9.0,11,71.219981
42.9,40,71.323996
42.9,40,71.431301
16.7,18,71.479225
46.0,41,71.592285
29.0,32,71.696747
42.4,35,71.791986
33.0,31,71.875251
48.0,41,71.978211
78.6,67,72.154926
27.7,28,72.236123
27.5,26,72.30631
10.1,12,72.339397
42.9,40,72.446801
29.9,30,72.529866
33.2,33,72.624182
30.8,29,72.707673
20.0,21,72.768298
86.9,80,73.002416
47.3,45,73.134654
68.0,61,73.29637
141.8,120,73.634406
10.1,12,73.681175
26.6,27,73.801072
66.0,61,73.979901
26.4,25,74.048226
11.2,13,74.083398
13.4,15,74.125284
19.8,19,74.175993
8.1,13,74.211623
35.2,33,74.296307
39.8,40,74.401038
22.0,21,74.459282
10.1,12,74.498115
26.4,25,74.569374
13.4,15,74.615112
10.1,12,74.648967
42.9,40,74.764107
30.8,29,74.854444
42.9,40,74.96973
72.8,70,75.152534
5.9,11,75.189812
26.6,27,75.272274
17.6,18,75.326362
42.9,40,75.432816
20.2,25,75.501462
26.4,25,75.569361
13.6,18,75.620076
16.3,14,75.657774
9.0,11,75.69265
12.3,14,75.731643
37.2,33,75.819234
17.8,19,75.872377
42.9,40,75.99112
40.7,39,76.097536
18.7,18,76.144886
26.6,27,76.215123
47.1,42,76.324348
34.3,34,76.417038
34.3,35,76.508895
148.0,41,76.622139
69.3,65,76.862651
-4,2,76.874975
50.6,47,77.036867
19.8,19,77.092893
58.1,52,77.230457
18.3,14,77.267524
23.1,22,77.331834
14.5,16,77.379938
32.1,32,77.461489
10.1,12,77.493614
28.6,27,77.564074
31.9,30,77.649767
34.3,34,77.746024
17.8,19,77.801493
17.8,19,77.851893
15.6,17,77.897004
20.0,22,77.954409
35.2,34,78.042293
29.9,30,78.118082
12.3,14,78.155202
11.2,13,78.189225
34.3,34,78.275934
33.2,33,78.359648
36.3,34,78.452815
22.0,21,78.508483
12.3,15,78.54889
38.1,32,78.632081
42.9,40,78.74296
27.5,26,78.812154
14.5,16,78.855034
15.6,17,78.899583
28.8,29,78.975293
42.9,40,79.083507
21.1,22,79.140031
16.9,21,79.194441
7.0,12,79.227412
53.9,50,79.355393
15.6,17,79.402385
42.9,40,79.51181
42.9,40,79.617266
39.6,37,79.713051
38.5,36,79.80533
16.5,16,79.848022
9.9,10,79.876819
16.7,18,79.923549
12.5,17,79.968815
39.8,40,80.071612
13.4,16,80.11398
39.8,40,80.213954
9.0,11,80.243083
27.3,24,80.305463
55.0,51,80.434811
17.8,19,80.486654
18.7,18,80.533373
66.7,58,80.680367
14.5,16,80.723496
42.9,40,80.824406
18.7,18,80.873202
23.3,24,80.936125
33.0,31,81.01459
4.8,10,81.043063
39.6,37,81.1351
83.0,71,81.324835
42.0,42,81.427922
1.5,7,81.44819
23.1,22,81.504549
21.1,22,81.561109
88.9,80,81.767144
26.6,27,81.842693
42.9,40,81.96148
29.7,28,82.036622
37.2,33,82.120757
39.4,35,82.207539
1.1,2,82.216174
24.2,23,82.271969
4.6,7,82.292512
40.5,36,82.380865
27.7,28,82.456693
62.7,59,82.606718
24.4,25,82.670405
48.6,48,82.818338
17.8,19,82.869969
21.1,22,82.934142
18.7,18,82.98856
40.7,38,83.088664
49.3,44,83.216181
29.3,24,83.283259
40.3,35,83.373644
9.0,11,83.402338
41.8,40,83.508707
48.1,42,83.621512
44.0,41,83.72998
42.7,38,83.829295
31.0,31,83.918201
12.3,14,83.959948
10.1,12,83.994305
42.9,40,84.099261
10.1,12,84.13525
35.4,35,84.23167
27.3,24,84.293959
23.3,24,84.35652
69.1,62,84.517119
9.0,11,84.547679
34.1,32,84.632734
1.3,4,84.646232
72.0,61,84.81809
50.4,45,84.955418
47.3,44,85.067825
5.5,6,85.086969
45.1,42,85.195436
15.6,17,85.239653
26.6,27,85.306883
55.0,51,85.434787
14.1,12,85.468268
23.3,24,85.528572
18.9,20,85.580016
83.8,80,85.791834
13.4,15,85.830092
30.1,34,85.913791
6.8,9,85.938179
33.0,31,86.014048
37.4,35,86.10434
27.5,26,86.171017
47.3,44,86.278862
18.9,20,86.339844
39.6,37,86.439457
37.2,33,86.526506
48.4,45,86.637318
42.9,40,86.757508
26.2,23,86.833745
42.9,40,86.947183
28.8,29,87.024383
38.3,34,87.11156
49.5,46,87.249095
31.0,31,87.334375
17.6,17,87.379969
23.3,24,87.448547
29.7,28,87.52561
13.0,11,87.556082
35.4,35,87.644683
63.6,58,87.819126
42.9,40,87.929743
31.9,30,88.004678
16.5,16,88.053051
15.6,17,88.104116
2.4,5,88.121864
22.2,23,88.191428
22.2,23,88.250711
37.6,37,88.346196
42.9,40,88.453633
12.7,20,88.51355
28.8,29,88.596656
56.1,52,88.751929
25.3,24,88.815325
39.4,35,88.911355
28.4,25,88.982433
20.0,21,89.041944
36.5,36,89.140577
28.4,25,89.209122
10.1,12,89.242533
15.6,17,89.289451
18.7,18,89.335857
62.7,59,89.493951
25.5,26,89.565063
8.7,22,89.622516
58.1,52,89.75797
32.1,32,89.839344
21.1,22,89.896517
16.7,18,89.943886
35.2,33,90.037868
21.1,22,90.101667
13.4,15,90.146735
42.9,40,90.259461
42.9,40,90.368834
63.3,54,90.522273
56.1,52,90.662634
26.6,27,90.740208
29.0,32,90.826489
39.8,39,90.932504
26.6,27,91.004572
8.8,9,91.030734
19.6,17,91.07875
22.2,23,91.141256
32.1,32,91.226881
42.9,40,91.335889
65.8,59,91.49157
33.2,33,91.585863
42.9,40,91.704936
7.7,8,91.729255
24.2,23,91.791702
6.8,9,91.81771
36.3,34,91.901154
82.3,75,92.083565
23.7,30,92.162172
42.9,40,92.265061
3.5,6,92.283235
74.8,69,92.457762
23.5,27,92.534441
42.9,40,92.638751
1.3,4,92.652612
15.8,20,92.711177
42.9,40,92.82954
16.7,18,92.88202
63.4,55,93.038917
56.3,54,93.181388
33.4,36,93.270752
31.2,34,93.367001
18.9,20,93.429087
20.9,20,93.485887
36.7,40,93.582014
20.0,21,93.63986
37.6,37,93.748869
42.5,36,93.8419
24.4,25,93.909686
