#{"t_start": 1621051796.3662221, "env_id": null}
r,l,t
0,3,18.840498
0,6,18.866406
0,3,18.882386
0,2,18.894533
0,5,18.917444
0,6,18.942823
0,3,18.958981
0,2,18.973687
0,2,18.984522
0,7,19.017455
0,5,19.034356
0,3,19.047223
0,7,19.070166
0,6,19.090939
0,6,19.111194
0,2,19.120878
0,2,19.130357
0,2,19.139302
0,6,19.158497
0,11,19.191268
0,7,19.214225
0,2,19.223477
0,4,19.237707
0,2,19.24695
0,7,19.269368
0,3,19.281081
0,6,19.300541
0,3,19.312534
0,3,19.323937
0,2,19.333214
0,2,19.342469
0,3,19.354404
0,5,19.371698
0,3,19.384064
0,4,19.398408
0,7,19.419936
0,2,19.429108
0,3,19.441046
0,2,19.450261
0,3,19.461693
0,7,19.483935
0,10,19.512805
0,3,19.525733
0,6,19.546878
0,5,19.564061
0,3,19.576779
0,3,19.589172
0,7,19.613284
0,3,19.625805
0,2,19.637588
0,5,19.656399
0,2,19.666552
0,3,19.680447
0,3,19.695167
0,3,19.708283
0,4,19.723538
0,4,19.740084
0,11,19.777885
0,4,19.795733
0,6,19.818252
0,6,19.840195
0,2,19.850079
0,3,19.863021
0,8,19.890497
0,28,19.98328
0,2,19.994554
0,4,20.010476
0,4,20.026258
0,2,20.036321
0,4,20.052366
0,2,20.063329
0,6,20.085747
0,9,20.116475
0,3,20.130646
0,3,20.144095
0,5,20.164604
0,3,20.178845
0,10,20.218736
0,4,20.235768
0,3,20.248118
0,6,20.268524
0,6,20.288852
0,4,20.303818
0,5,20.320941
0,8,20.347435
0,4,20.362439
0,14,20.404158
0,2,20.41382
0,3,20.42581
0,3,20.439018
0,3,20.451879
0,6,20.474283
0,2,20.484638
0,13,20.529982
0,2,20.547125
0,2,20.561943
0,5,20.581558
0,5,20.599704
0,3,20.612837
0,3,20.626503
0,5,20.644977
0,4,20.660749
0,3,20.672432
0,5,20.690215
0,8,20.716774
0,4,20.73206
0,6,20.751778
0,2,20.761243
0,17,20.810347
0,6,20.830446
0,3,20.842514
0,2,20.851852
0,3,20.86468
0,7,20.888102
0,3,20.899894
0,2,20.90969
0,5,20.927132
0,4,20.940928
0,2,20.950405
0,3,20.962567
0,2,20.971997
0,8,20.997206
0,4,21.010932
0,9,21.040057
0,2,21.051054
0,8,21.076064
0,7,21.098423
0,3,21.110303
0,2,21.119633
0,2,21.129912
0,2,21.13938
0,8,21.166001
0,5,21.18354
0,4,21.198172
0,4,21.216749
0,3,21.231715
0,2,21.244573
0,4,21.259628
0,5,21.27716
0,12,21.314369
0,6,21.335891
0,2,21.346149
0,4,21.361352
0,3,21.37477
0,3,21.388739
0,6,21.4096
0,10,21.446182
0,3,21.457877
0,2,21.467749
0,2,21.477604
0,7,21.50018
0,2,21.509705
0,2,21.520068
0,2,21.530621
0,3,21.54361
0,5,21.561487
0,3,21.573801
0,3,21.587776
0,2,21.601034
0,4,21.616342
0,3,21.628538
0,7,21.651878
0,2,21.661518
0,2,21.671838
0,9,21.70089
0,4,21.715835
0,3,21.728503
0,11,21.762993
0,2,21.772483
0,2,21.783679
0,6,21.805138
0,4,21.824549
0,9,21.857676
0,2,21.867293
0,2,21.87741
0,2,21.891036
0,2,21.90528
0,6,21.925984
0,7,21.949136
0,6,21.969629
0,6,21.992235
0,5,22.011126
0,4,22.02746
0,10,22.061662
0,4,22.080792
0,3,22.094175
0,6,22.113708
0,6,22.134031
0,4,22.148899
0,2,22.158076
0,9,22.184579
0,3,22.196242
0,8,22.220038
0,8,22.244029
0,2,22.253281
0,5,22.270114
0,2,22.280003
0,3,22.2925
0,9,22.320257
0,5,22.33701
0,2,22.346885
0,5,22.364604
0,5,22.382989
0,2,22.394684
0,2,22.404932
0,4,22.420827
0,7,22.44457
0,5,22.462276
0,5,22.480878
0,2,22.491042
0,4,22.506711
0,4,22.52233
0,6,22.543103
0,9,22.569592
0,9,22.596238
0,21,22.656871
0,4,22.670872
0,5,22.688064
0,2,22.697234
0,7,22.719589
0,3,22.731227
0,7,22.754688
0,6,22.775627
0,4,22.792194
0,2,22.802579
0,11,22.837663
0,2,22.847725
0,2,22.857289
0,3,22.868852
0,5,22.88557
0,12,22.92103
0,2,22.930347
0,4,22.948226
0,2,22.965049
0,9,22.992056
0,2,23.00105
0,3,23.015344
0,14,23.058564
0,2,23.07016
0,5,23.093397
0,2,23.103233
0,3,23.115836
0,4,23.133256
0,2,23.142421
0,2,23.152666
0,11,23.185634
0,5,23.202872
0,3,23.21438
0,4,23.236546
0,2,23.249986
0,3,23.267461
0,3,23.284858
0,8,23.342194
0,3,23.377151
0,3,23.412437
0,5,23.510724
0,9,23.572742
0,3,23.59887
0,3,23.619384
0,2,23.634601
0,9,23.679063
0,2,23.692369
0,2,23.704467
0,8,23.738028
0,2,23.749538
0,7,23.777557
0,8,23.833148
0,14,23.978133
0,3,24.018023
0,2,24.032262
0,4,24.064025
0,13,24.233752
0,5,24.31796
0,3,24.343485
0,4,24.389966
0,5,24.43593
0,2,24.464975
0,6,24.503792
0,2,24.520002
0,2,24.533004
0,3,24.550117
0,6,24.574734
0,4,24.590445
0,8,24.615843
0,12,24.652112
0,2,24.661972
0,2,24.672684
0,2,24.68236
0,5,24.699735
0,3,24.711895
0,2,24.721731
0,3,24.733872
0,3,24.746005
0,21,24.818931
0,4,24.836594
0,2,24.849138
0,3,24.864549
0,3,24.87887
0,4,24.898881
0,2,24.912645
0,3,24.928981
0,2,24.94072
0,2,24.951199
0,7,24.98076
0,4,24.999182
0,2,25.012541
0,8,25.051278
0,2,25.063539
0,5,25.085649
0,5,25.10615
0,5,25.124141
0,4,25.138989
0,6,25.158499
0,5,25.175754
0,5,25.192858
0,7,25.215162
0,6,25.235488
0,5,25.252631
0,4,25.267688
0,3,25.280123
0,8,25.306289
0,2,25.316424
0,6,25.340568
0,3,25.356171
0,4,25.374899
0,3,25.390179
0,6,25.419714
0,2,25.434379
0,3,25.449634
0,9,25.487937
0,3,25.504917
0,24,25.591021
0,6,25.614918
0,5,25.636301
0,2,25.648005
0,2,25.660346
0,3,25.67519
0,2,25.6869
0,3,25.70271
0,3,25.718162
0,2,25.730537
0,12,25.774144
0,6,25.799448
0,5,25.819853
0,4,25.838759
0,9,25.871932
0,3,25.889531
0,4,25.928759
0,2,25.947497
0,4,25.970798
0,3,25.987652
0,3,26.006784
0,4,26.027283
0,5,26.050153
0,5,26.071029
0,5,26.09571
0,3,26.108823
0,3,26.125391
0,8,26.151182
0,2,26.16158
0,3,26.173802
0,5,26.192421
0,5,26.212177
0,5,26.23018
0,5,26.252172
0,4,26.269001
0,3,26.283246
0,4,26.299713
0,6,26.321724
0,10,26.508602
0,13,26.589197
0,4,26.608929
0,2,26.622948
0,3,26.640515
0,2,26.663567
0,2,26.69555
0,3,26.723806
0,3,26.737366
0,4,26.765162
0,2,26.777422
0,16,26.856531
0,3,26.869291
0,8,26.895622
0,4,26.913355
0,7,26.936612
0,3,26.952895
0,3,26.973665
0,4,26.992909
0,6,27.02166
0,2,27.039076
0,4,27.100054
0,3,27.129806
0,2,27.198215
0,2,27.420621
0,6,27.625276
0,2,27.68121
0,3,27.72874
0,4,27.799787
0,8,27.899593
0,13,28.028246
0,3,28.083535
0,8,28.139572
0,12,28.204546
0,8,28.239157
0,6,28.260093
0,11,28.29712
0,4,28.322982
0,7,28.363487
0,14,28.424807
0,8,28.470973
0,2,28.486447
0,3,28.502599
0,2,28.515735
0,3,28.532093
0,2,28.548494
0,3,28.562584
0,4,28.57799
0,3,28.593294
0,5,28.615294
0,2,28.626329
0,5,28.644837
0,2,28.654599
0,2,28.665335
0,4,28.681532
0,4,28.697919
0,2,28.709384
0,2,28.719814
0,3,28.733087
0,6,28.753104
0,7,28.77606
0,3,28.788192
0,2,28.798202
0,6,28.819336
0,2,28.828752
0,14,28.875294
0,2,28.88473
0,7,28.908239
0,5,28.927451
0,9,28.959675
0,11,28.996591
0,3,29.009362
