#{"t_start": 1621049963.56602, "env_id": null}
r,l,t
-1.4,10,30.015144
30.1,34,30.170684
34.1,32,30.317552
3.5,6,30.346276
53.0,53,30.586097
5.7,8,30.626087
5.5,6,30.658617
1.3,4,30.680257
12.3,15,30.751601
22.0,21,30.850368
11.2,13,30.908393
25.3,24,31.0165
10.1,12,31.078118
42.9,40,31.282152
28.8,30,31.430211
24.2,23,31.54356
12.5,17,31.633551
20.0,21,31.734275
39.8,40,31.925559
22.0,21,32.022927
30.1,33,32.170764
13.2,13,32.241167
4.6,7,32.274296
6.5,20,32.371784
11.2,14,32.448351
27.7,29,32.59011
6.1,14,32.663852
13.4,15,32.729072
24.0,21,32.829694
18.9,20,32.919272
58.1,52,33.155917
13.4,15,33.227714
3.5,6,33.263915
49.7,50,33.480936
37.2,33,33.63156
1.1,2,33.642371
26.6,27,33.764311
27.3,24,33.87273
14.9,22,33.964415
60.3,54,34.219382
24.4,25,34.331107
9.0,11,34.381274
6.6,7,34.416639
1.1,2,34.427021
20.0,21,34.521598
4.6,7,34.557737
12.3,14,34.625802
7.9,10,34.669691
15.6,17,34.745999
56.1,52,34.970968
48.4,45,35.186946
3.3,4,35.209032
42.9,40,35.385847
12.5,17,35.459211
18.7,18,35.563334
10.2,29,35.708981
7.0,12,35.77543
11.2,13,35.850336
14.5,16,35.9294
12.9,23,36.044289
42.9,40,36.2521
27.7,28,36.40673
-4,2,36.421079
11.0,11,36.490247
17.8,19,36.600543
28.8,29,36.761091
-0.9,2,36.775236
11.2,13,36.856857
25.5,27,37.013703
14.3,14,37.092463
12.3,14,37.16083
30.3,36,37.354363
-0.9,2,37.374475
42.9,40,37.578746
21.3,25,37.711463
4.6,7,37.755851
11.6,19,37.860923
38.5,36,38.057304
-0.9,2,38.072511
23.3,25,38.204048
15.6,17,38.310478
6.8,9,38.361479
26.4,25,38.48661
27.9,32,38.654638
19.8,19,38.763226
40.7,38,38.960881
12.1,12,39.033809
7.9,10,39.095647
-0.9,2,39.110287
24.2,23,39.237108
5.7,8,39.287374
21.1,22,39.408605
13.4,15,39.48444
3.3,4,39.511302
4.6,7,39.5561
12.3,15,39.640962
28.1,35,39.821433
10.1,12,39.887822
-4.9,4,39.914351
15.6,17,40.009768
7.9,10,40.067838
-0.9,2,40.086517
1.3,4,40.112887
26.6,27,40.252283
38.7,40,40.473455
22.0,21,40.584299
3.5,6,40.617126
25.5,26,40.763406
12.3,14,40.894704
26.6,28,41.049249
30.8,29,41.233212
1.3,4,41.266079
15.6,17,41.366987
36.5,36,41.5793
12.1,12,41.788869
16.2,26,42.219135
-1.8,5,42.28378
6.8,9,42.348239
20.4,28,43.082493
4.6,7,43.214358
28.6,27,43.43508
-0.9,2,43.459219
9.9,10,43.528723
13.4,16,43.651045
5.2,16,43.746512
7.9,10,43.839085
12.3,15,43.96413
3.5,6,43.9983
15.6,17,44.10389
17.8,19,44.205357
11.2,13,44.277313
1.3,4,44.30239
4.6,7,44.350329
17.8,20,44.455269
10.5,19,44.557353
8.1,13,44.627254
49.5,46,44.867052
-0.9,2,44.879973
-9.6,11,44.938701
